trust[17] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08622689539926366, 4: 0.07578811523719034, 5: 0.0, 6: 0.0, 7: 0.06406466558306932, 8: 0.0, 9: 0.09846154644752772, 10: 0.057299155353999334, 11: 0.10869795025060262, 12: 0.0, 13: 0.08821717803462915, 14: 0.061512318674597985, 15: 0.0, 16: 0.10657565055052025, 17: 0.07415753638123174, 18: 0.0626502286877881, 19: 0.11634875939957993}
trust[18] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08640657940565334, 4: 0.07581129240947489, 5: 0.0, 6: 0.0, 7: 0.06353315480738894, 8: 0.0, 9: 0.09868457807425537, 10: 0.05678911099394204, 11: 0.10932533737579853, 12: 0.0, 13: 0.0883276508819001, 14: 0.06086964084923817, 15: 0.0, 16: 0.10701540789253289, 17: 0.07408264569474464, 18: 0.06226605592619295, 19: 0.1168885456888782}
trust[19] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08654695804545287, 4: 0.07582921201598732, 5: 0.0, 6: 0.0, 7: 0.06309674793345395, 8: 0.0, 9: 0.0989509414808116, 10: 0.05613270467792805, 11: 0.10996696236249137, 12: 0.0, 13: 0.08849490882451823, 14: 0.06024836896339119, 15: 0.0, 16: 0.10746868071071676, 17: 0.07401983617990227, 18: 0.06176531062807997, 19: 0.11747936817726647}
trust[20] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08671889681262178, 4: 0.07585334884150736, 5: 0.0, 6: 0.0, 7: 0.06261586592298739, 8: 0.0, 9: 0.09925194856416823, 10: 0.055369026861064305, 11: 0.11064416816412266, 12: 0.0, 13: 0.08864333282109645, 14: 0.05963981563251853, 15: 0.0, 16: 0.10800764997929466, 17: 0.07391073649547295, 18: 0.06132076936133587, 19: 0.11802444054380994}
trust[21] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08694578635975495, 4: 0.0758834874065132, 5: 0.0, 6: 0.0, 7: 0.062149048526020954, 8: 0.0, 9: 0.09944455514490863, 10: 0.05480178117828935, 11: 0.111199066195328, 12: 0.0, 13: 0.08882653377123692, 14: 0.05919052485835975, 15: 0.0, 16: 0.10838137520741854, 17: 0.07388660910706278, 18: 0.06090744392904819, 19: 0.1183837883160587}
trust[22] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08716838051486717, 4: 0.07591169926651707, 5: 0.0, 6: 0.0, 7: 0.061734465015451226, 8: 0.0, 9: 0.09971190465763506, 10: 0.05426925179450176, 11: 0.11162271078387086, 12: 0.0, 13: 0.08898053182311239, 14: 0.0588051545431588, 15: 0.0, 16: 0.10873172694566353, 17: 0.07389329415350915, 18: 0.060339773147722556, 19: 0.11883110735399041}
trust[23] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08741088078840441, 4: 0.07593814803773927, 5: 0.0, 6: 0.0, 7: 0.061355741184902834, 8: 0.0, 9: 0.09996359184239528, 10: 0.05384654967653295, 11: 0.11208671574865696, 12: 0.0, 13: 0.08915085477962623, 14: 0.058271405642658716, 15: 0.0, 16: 0.10912878608689704, 17: 0.07386848493219912, 18: 0.05971108887250879, 19: 0.1192677524074785}
trust[24] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08765010382928685, 4: 0.07598146567283712, 5: 0.0, 6: 0.0, 7: 0.060989645967611514, 8: 0.0, 9: 0.10014751252765663, 10: 0.05338667621965561, 11: 0.11250470325753291, 12: 0.0, 13: 0.08931533984050734, 14: 0.05783869024645566, 15: 0.0, 16: 0.10938509517480269, 17: 0.07390639928837614, 18: 0.05926498522254454, 19: 0.11962938275273294}
trust[25] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0878770958838933, 4: 0.07603021410851825, 5: 0.0, 6: 0.0, 7: 0.06074357008091783, 8: 0.0, 9: 0.10037782169997207, 10: 0.05292731738836112, 11: 0.11289125674862, 12: 0.0, 13: 0.08951708375189263, 14: 0.05734698883808979, 15: 0.0, 16: 0.1096948471642544, 17: 0.0739396363995308, 18: 0.05872912897391301, 19: 0.11992503896203677}
trust[26] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08808143618056145, 4: 0.0760670883135568, 5: 0.0, 6: 0.0, 7: 0.06046033358605005, 8: 0.0, 9: 0.10063355067827373, 10: 0.05256111063316718, 11: 0.11320807070212896, 12: 0.0, 13: 0.08968773548615822, 14: 0.05698901344607245, 15: 0.0, 16: 0.10992979260234761, 17: 0.07396172202126758, 18: 0.05819311611682838, 19: 0.12022703023358766}
