round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
34,0.18390708770751954,0.9649,0.0052,0.9647469828360677,0.9414784394250514,0.5162413170859217,100,100,0,40,23960,0.009066300000995398,90.05306479999854,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
35,1.5055329895019531,0.0483,0.919,0.04959255645462411,0.0,0.5370447598795096,100,100,0,40,23960,0.01240719999623252,90.25683700000081,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
36,0.179461429977417,0.9652,0.0052,0.965005132187569,0.9383983572895277,0.5114182844509682,100,100,0,40,23960,0.012500100005127024,92.77888240000175,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
37,1.5117495849609375,0.044,0.9242,0.045224306230181525,0.0,0.5320405623267095,100,100,0,40,23960,0.012493399997765664,90.07631389999733,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
38,0.17457424240112304,0.9659,0.0047,0.9657444838415833,0.9435318275154004,0.5009467288317779,100,100,0,40,23960,0.008133000002999324,89.8502520999973,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
39,1.5441466613769532,0.0402,0.9295,0.041239187870185705,0.0,0.5219362601675094,100,100,0,40,23960,0.012755299998389091,89.99707040000067,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
40,0.16646654815673828,0.9679,0.0045,0.9677532847394792,0.9486652977412731,0.49322943849985806,100,100,0,40,23960,0.013286199995491188,90.61721350000153,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
41,1.519166421508789,0.0344,0.9351,0.035283670307201156,0.0,0.5209023606826861,100,100,0,40,23960,0.01287929999671178,89.74781010000152,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
42,0.1638633605957031,0.968,0.0042,0.9678569149296594,0.9476386036960985,0.4838077478123208,100,100,0,40,23960,0.012428099995304365,90.27576090000366,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
43,1.5469271850585937,0.031,0.9402,0.03183985880450185,0.0,0.509021114019677,100,100,0,40,23960,0.008582900001783855,90.08114600000408,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
44,0.161613659286499,0.97,0.0038,0.9698685239849535,0.9507186858316222,0.4775467500624558,100,100,0,40,23960,0.01354670000000624,90.24832109999988,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
45,1.5434411712646485,0.0294,0.9423,0.030179653622035535,0.0,0.5054317169462641,100,100,0,40,23960,0.024306600003910717,91.05296490000183,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
46,0.1599614070892334,0.9704,0.0039,0.9703045969701076,0.9507186858316222,0.4730665836880605,100,100,0,40,23960,0.009988500001782086,90.31060830000206,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
47,1.5565280181884766,0.0317,0.9406,0.03245567986329611,0.0,0.49883668593876074,100,100,0,40,23960,0.012452300004952122,89.91040290000092,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
48,0.1564227565765381,0.9712,0.0038,0.9710995294481533,0.9517453798767967,0.4691337673999369,100,100,0,40,23960,0.012881599999673199,89.84416000000056,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
49,1.5390570831298829,0.0235,0.9498,0.024087499238983734,0.0,0.5003427111438166,100,100,0,40,23960,0.012695799996436108,90.1169577000037,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
50,0.154532710647583,0.971,0.0038,0.970870870566943,0.9507186858316222,0.46239369311618306,100,100,0,40,23960,0.009949699997378048,90.1644204999975,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
51,1.5465172637939453,0.0301,0.9442,0.03091975742352617,0.0,0.4863355403790871,100,100,0,40,23960,0.011464600000181235,89.89473040000303,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
52,0.1553680477142334,0.9723,0.0038,0.97218080928806,0.9548254620123203,0.45714893946672475,100,100,0,40,23960,0.012350700002571102,90.15743929999735,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
53,1.5268384033203124,0.0233,0.9515,0.02382971273551202,0.0,0.4843082948879649,100,100,0,40,23960,0.00963200000114739,89.74634610000066,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
54,0.15306200027465822,0.9727,0.0041,0.972641688219035,0.9579055441478439,0.4503107379797536,100,100,0,40,23960,0.014005400000314694,76.80445780000446,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
55,1.5674656829833984,0.0229,0.9522,0.023496390373534893,0.0,0.4736952360123396,100,100,0,40,23960,0.012806400001863949,91.13696890000574,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
56,0.14937043838500977,0.9733,0.0041,0.9732315013166456,0.9537987679671458,0.4504383863285184,100,100,0,40,23960,0.008685100001457613,90.53419920000306,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
57,1.5724639495849608,0.0227,0.9529,0.02325387180301786,0.0,0.47430761087064943,100,100,0,40,23960,0.00850930000160588,90.39364899999782,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
58,0.14527608184814453,0.9734,0.0041,0.9733289173419145,0.9548254620123203,0.4473874300830065,100,100,0,40,23960,0.007790799994836561,90.28021609999996,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
59,1.559378091430664,0.0195,0.9568,0.019960828224831625,0.0,0.4740023023144652,100,100,0,40,23960,0.01384410000173375,90.48200099999667,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
60,0.14713274192810058,0.9747,0.0036,0.9746329195710379,0.9599589322381931,0.44108030282706023,100,100,0,40,23960,0.012872000006609596,91.5557661999992,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
61,1.5524489562988282,0.0201,0.9566,0.020616698536779544,0.0,0.47114411004632706,100,100,0,40,23960,0.007546399996499531,90.19163459999982,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
62,0.14540034294128418,0.9749,0.004,0.9748167678646571,0.9579055441478439,0.43630558611390496,100,100,0,40,23960,0.01610699999582721,92.83474720000231,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
63,1.6057612060546875,0.0182,0.9587,0.01861337836630866,0.0,0.46547761156906675,100,100,0,40,23960,0.01116339999862248,90.7144763000033,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
64,0.14348666648864747,0.9754,0.0039,0.9753309452356884,0.9599589322381931,0.4357095807008446,100,100,0,40,23960,0.009241300002031494,90.37949429999571,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
65,1.5455128784179688,0.0171,0.9602,0.01747207002023961,0.0,0.4668484187920889,100,100,0,40,23960,0.00893740000174148,79.47268690000055,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
66,0.14250114822387697,0.9757,0.0036,0.9756341098447876,0.9620123203285421,0.42963427287836864,100,100,0,40,23960,0.009376400004839525,91.22662539999874,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
67,1.6102946228027344,0.0144,0.9631,0.014691053876563881,0.0,0.45498183354549104,100,100,0,40,23960,0.012163700004748534,92.19635820000258,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
68,0.13862100448608397,0.9763,0.0036,0.9762541739465297,0.9630390143737166,0.4273464087316146,100,100,0,40,23960,0.012838000002375338,90.96432859999913,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
69,1.5768803405761718,0.0147,0.9634,0.015038269655755731,0.0,0.457041724119025,100,100,0,40,23960,0.013891899994632695,90.58506659999694,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
70,0.1389082763671875,0.9762,0.0036,0.976145351952125,0.9609856262833676,0.4264212541008988,100,100,0,40,23960,0.008232899999711663,77.82477970000036,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
71,1.622636019897461,0.0135,0.9652,0.013727487295144619,0.0,0.4579871685408676,100,100,0,40,23960,0.012855400003900286,91.41588290000072,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
72,0.13887968788146973,0.977,0.0033,0.9769463666449834,0.9630390143737166,0.4234886675132439,100,100,0,40,23960,0.012737500001094304,91.20380830000067,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
73,1.580826641845703,0.0126,0.9663,0.012847770628141745,0.0,0.4544268784152034,100,100,0,40,23960,0.012525699996331241,90.58590099999856,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
74,0.1375979866027832,0.9768,0.0035,0.9767571099891678,0.9609856262833676,0.4195687126529713,100,100,0,40,23960,0.013535699996282347,90.65352659999917,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
75,1.5925019653320311,0.0139,0.965,0.014154846501032858,0.0,0.4461735832082729,100,100,0,40,23960,0.012867800003732555,90.62790520000271,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
76,0.13631772384643553,0.978,0.0031,0.9779594574938688,0.9650924024640657,0.41812718004050353,100,100,0,40,23960,0.012601499998709187,90.29880589999811,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
77,1.5780165100097656,0.0117,0.9678,0.011917129027142646,0.0,0.4480388158019632,100,100,0,40,23960,0.012617200001841411,91.24885700000596,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
78,0.1350674160003662,0.9776,0.0033,0.9775826097244138,0.9650924024640657,0.40975655416895934,100,100,0,40,23960,0.014038599998457357,77.50377110000409,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
79,1.5871108947753907,0.0141,0.9657,0.014327064738840337,0.0,0.4461341461030145,100,100,0,40,23960,0.013472400001774076,91.39253750000353,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
80,0.13645908966064454,0.9775,0.0033,0.9774608232285505,0.9650924024640657,0.41200797204999257,100,100,0,40,23960,0.012599400004546624,90.9908157999962,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
81,1.5940534942626954,0.0114,0.9683,0.011594274020545792,0.0,0.44053473928011955,100,100,0,40,23960,0.010721099999500439,90.85978440000326,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
82,0.13146974296569824,0.9787,0.0029,0.9786451586772673,0.9640657084188912,0.40771542334929106,100,100,0,40,23960,0.012746799999149516,80.89577379999537,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
83,1.6178790100097655,0.011,0.9687,0.01119479678477896,0.0,0.4374073520700137,100,100,0,40,23960,0.01293910000094911,92.34483400000317,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
84,0.13056473197937013,0.9782,0.0031,0.9781425371193881,0.9630390143737166,0.4057388115754971,100,100,0,40,23960,0.013560500003222842,91.37025979999453,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
85,1.5820156677246093,0.0121,0.9677,0.012321019527334356,0.0,0.44047377724945547,100,100,0,40,23960,0.012667599999986123,90.8619544999965,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
86,0.1301681697845459,0.9788,0.0029,0.9787475188169902,0.9630390143737166,0.40179419290709,100,100,0,40,23960,0.009699600006570108,90.55540200000542,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
87,1.6285098449707032,0.0118,0.9683,0.01199536683452021,0.0,0.4359499678872526,100,100,0,40,23960,0.011081899996497668,90.47395819999656,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
88,0.13007609977722168,0.9783,0.0031,0.9782431669383103,0.9640657084188912,0.4024355293990423,100,100,0,40,23960,0.013564900000346825,90.38317509999615,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
89,1.5861786468505858,0.0121,0.9681,0.012313265420037581,0.0,0.4373511471292004,100,100,0,40,23960,0.017772100000001956,91.21363450000354,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
90,0.13105582237243651,0.9787,0.0033,0.97866794347073,0.9620123203285421,0.4039219371983782,100,100,0,40,23960,0.012487799998780247,91.01457800000207,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
91,1.5934514068603516,0.0116,0.9689,0.011794745817897332,0.0,0.4295269023918857,100,100,0,40,23960,0.01217700000415789,90.22698769999988,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
92,0.12801796894073486,0.979,0.0029,0.9789473967111084,0.9661190965092402,0.39631347551693524,100,100,0,40,23960,0.010334499995224178,90.43824860000313,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
93,1.609826104736328,0.0113,0.9695,0.01148675255504353,0.0,0.4291365633774548,100,100,0,40,23960,0.012594499996339437,90.43327359999967,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
94,0.12536659469604491,0.98,0.0026,0.9799360705596444,0.9671457905544147,0.39625680257690454,100,100,0,40,23960,0.01256930000090506,90.10238760000357,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
95,1.5860767150878907,0.0103,0.9709,0.010454683775210263,0.0,0.43227583908289674,100,100,0,40,23960,0.013144100004865322,90.12039619999996,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
96,0.12857745933532716,0.9802,0.0028,0.9801517434825209,0.9671457905544147,0.3893051170526693,100,100,0,40,23960,0.012532200002169702,90.00296589999925,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
97,1.5827919921875,0.0116,0.9694,0.011755558070751296,0.0,0.42767581122306486,100,100,0,40,23960,0.014923299997462891,90.11899760000233,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
98,0.12777879981994628,0.9796,0.0033,0.9795548990722113,0.9650924024640657,0.3919223790814479,100,100,0,40,23960,0.011871700000483543,90.1347781000004,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
99,1.5967366790771484,0.0116,0.9699,0.011778586210249927,0.0,0.427118165978541,100,100,0,40,23960,0.012580899994645733,90.09738269999798,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
100,0.12766206474304198,0.9791,0.0036,0.9790711439257956,0.9620123203285421,0.390389218258361,100,100,0,40,23960,0.012527799997769762,90.0181173000019,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
101,1.5670122039794923,0.0116,0.9699,0.011761060551330842,0.0,0.42290578823909164,100,100,0,40,23960,0.01121729999431409,90.13516850000451,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
102,0.126777099609375,0.9801,0.0027,0.980051606143683,0.9671457905544147,0.3886801733834049,100,100,0,40,23960,0.012908500000776257,90.24753350000537,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
103,1.6206132904052735,0.0109,0.9711,0.011074196267477535,0.0,0.41568965392870216,100,100,0,40,23960,0.01311369999893941,79.8776332999987,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
104,0.12412430572509765,0.9806,0.0029,0.9805521926424674,0.9640657084188912,0.38669449158695834,100,100,0,40,23960,0.009943600001861341,82.23995390000346,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
105,1.5545079528808594,0.0114,0.9707,0.011534094387161062,0.0,0.4217867278568446,100,100,0,40,23960,0.010209599997324403,93.01769020000211,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
106,0.12406013946533204,0.9807,0.0028,0.9806666670492404,0.9671457905544147,0.3839572378983721,100,100,0,40,23960,0.012947399998665787,92.32026160000532,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
107,1.6357576721191407,0.0111,0.9714,0.011258839559385725,0.0,0.41756314236236114,100,100,0,40,23960,0.011969300001510419,92.3236270999987,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
108,0.1224262565612793,0.981,0.0028,0.9809117785038121,0.9640657084188912,0.383407895355175,100,100,0,40,23960,0.01192309999896679,91.93989119999605,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
109,1.5806821899414063,0.0103,0.9724,0.01042911302423412,0.0,0.4182529246223469,100,100,0,40,23960,0.008839000001898967,92.02753959999973,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
110,0.12303381061553956,0.9809,0.0027,0.9808405275885861,0.9661190965092402,0.37890719257978106,100,100,0,40,23960,0.012889900004665833,91.99459550000029,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
111,1.6133400390625,0.0102,0.9727,0.010356379432852173,0.0,0.4140782136771207,100,100,0,40,23960,0.012929199998325203,91.76931579999655,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
112,0.12157729263305664,0.9816,0.0026,0.9815291524387193,0.9671457905544147,0.37691424088055897,100,100,0,40,23960,0.012797899995348416,91.89640729999519,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
113,1.576028042602539,0.0104,0.9728,0.010533586378824185,0.0,0.41767468796484164,100,100,0,40,23960,0.008889400000043679,92.15415000000212,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
