trust[11] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08501085818395848, 4: 0.08887566642781972, 5: 0.0, 6: 0.0, 7: 0.07759514359623673, 8: 0.0, 9: 0.08245746697692138, 10: 0.08233848170249222, 11: 0.08001914000425953, 12: 0.0, 13: 0.0856022664066983, 14: 0.08658461594058237, 15: 0.0, 16: 0.08017564034510949, 17: 0.08244101646408902, 18: 0.08171777746499101, 19: 0.08718192648684184}
trust[12] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08476950044090632, 4: 0.08953829753202017, 5: 0.0, 6: 0.0, 7: 0.07708991461457625, 8: 0.0, 9: 0.08247149179370804, 10: 0.08214005071545295, 11: 0.07976986114480433, 12: 0.0, 13: 0.08618025005330834, 14: 0.08705561518182983, 15: 0.0, 16: 0.07993133928178325, 17: 0.08228375951150867, 18: 0.08151244297062299, 19: 0.08725747675947904}
trust[13] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08472612035431873, 4: 0.09049925177300759, 5: 0.0, 6: 0.0, 7: 0.07666668716850543, 8: 0.0, 9: 0.08242816689673352, 10: 0.08204242179128382, 11: 0.07951958753808817, 12: 0.0, 13: 0.08661911488008223, 14: 0.08758055105989286, 15: 0.0, 16: 0.07966999252241957, 17: 0.08178176704516257, 18: 0.08116705673189474, 19: 0.08729928223861072}
trust[14] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08473271583699196, 4: 0.09114902884232984, 5: 0.0, 6: 0.0, 7: 0.07604730197506564, 8: 0.0, 9: 0.08258824265959064, 10: 0.08196117254622978, 11: 0.07927230495535734, 12: 0.0, 13: 0.08687049049868775, 14: 0.08776674873150665, 15: 0.0, 16: 0.07958863687484938, 17: 0.08158374154696332, 18: 0.08086713595569514, 19: 0.08757247957673261}
trust[15] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08472927938482248, 4: 0.09121309826057221, 5: 0.0, 6: 0.0, 7: 0.07600821713645711, 8: 0.0, 9: 0.08258413635987222, 10: 0.08195386582475402, 11: 0.0792617434103019, 12: 0.0, 13: 0.0868783354413809, 14: 0.08778714057396336, 15: 0.0, 16: 0.07957957287986325, 17: 0.08157035821273861, 18: 0.08086036105018186, 19: 0.08757389146509195}
trust[16] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08472813995398278, 4: 0.09127757817906242, 5: 0.0, 6: 0.0, 7: 0.07594140776403341, 8: 0.0, 9: 0.08257856878632916, 10: 0.08195508078878805, 11: 0.07925528205012665, 12: 0.0, 13: 0.08688857485150703, 14: 0.08781119775958171, 15: 0.0, 16: 0.07956590957506299, 17: 0.08155448171925032, 18: 0.08085597942387596, 19: 0.08758779914839943}
trust[17] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08472973927358142, 4: 0.0913316507625181, 5: 0.0, 6: 0.0, 7: 0.07588197378957756, 8: 0.0, 9: 0.08257349846008216, 10: 0.0819524277429547, 11: 0.07925403853423603, 12: 0.0, 13: 0.0868995275812846, 14: 0.08783709365398526, 15: 0.0, 16: 0.0795498473983193, 17: 0.08154208919176834, 18: 0.08085158813415257, 19: 0.08759652547753985}
trust[18] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08473269932292297, 4: 0.0913945825652278, 5: 0.0, 6: 0.0, 7: 0.07583624328898997, 8: 0.0, 9: 0.08256878077024488, 10: 0.08194984759770067, 11: 0.07924236969412671, 12: 0.0, 13: 0.08690363637126125, 14: 0.08784697677264239, 15: 0.0, 16: 0.07954328499942735, 17: 0.08153212024175174, 18: 0.08084090493563968, 19: 0.08760855344006463}
trust[19] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08473018433762683, 4: 0.09144315373036321, 5: 0.0, 6: 0.0, 7: 0.07579523150104876, 8: 0.0, 9: 0.08256341241540129, 10: 0.08194464002326714, 11: 0.07923802198203223, 12: 0.0, 13: 0.08692286131459846, 14: 0.0878574274417287, 15: 0.0, 16: 0.07952697789064092, 17: 0.08152252358947026, 18: 0.08083465879211192, 19: 0.08762090698171016}
trust[20] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0847366504164036, 4: 0.0914762536631099, 5: 0.0, 6: 0.0, 7: 0.07574856298245258, 8: 0.0, 9: 0.08255317083518439, 10: 0.0819437091602298, 11: 0.07923776820737477, 12: 0.0, 13: 0.08692753746228714, 14: 0.0878760654750375, 15: 0.0, 16: 0.07952400873990366, 17: 0.08151117278366737, 18: 0.08083154237977745, 19: 0.08763355789457183}
